restaurant_id,name,city,locality,cuisines,avg_cost_for_two,currency,rating,votes
243,Aahar Cafe,Bengaluru,Banashankari,South Indian,100.0,INR,0.0,0
244,Akash Gowdru Biryani Center,Bengaluru,Banashankari,"North Indian, Chinese",300.0,INR,0.0,0
245,New Sri Udupi Restaurant,Bengaluru,Banashankari,"North Indian, South Indian, Chinese, Beverages, Fast Food",200.0,INR,0.0,0
246,Potato House,Bengaluru,Banashankari,Street Food,200.0,INR,3.4,9
247,Hotel Biriyani Counter,Bengaluru,Banashankari,"North Indian, Chinese, Biryani",350.0,INR,0.0,0
248,Matru Sagar,Bengaluru,Banashankari,"South Indian, North Indian",300.0,INR,3.7,31
249,Ugadi,Bengaluru,Banashankari,"North Indian, Chinese, Biryani, Andhra, Mangalorean",700.0,INR,2.9,177
250,Sri Krishna Sweets,Bengaluru,Banashankari,"Mithai, Desserts",250.0,INR,3.7,22
251,In Time Cane Juice,Bengaluru,Banashankari,"Juices, Beverages",100.0,INR,3.5,10
252,Subway,Bengaluru,Banashankari,"Salad, Fast Food",600.0,INR,3.7,136
253,Daal Roti,Bengaluru,Banashankari,"North Indian, Chinese",250.0,INR,2.9,35
254,The Lassi Park,Bengaluru,Banashankari,"Juices, Desserts",200.0,INR,4.1,185
255,Cafe Coffee Day,Bengaluru,Banashankari,"Cafe, Fast Food",900.0,INR,3.2,17
256,A2B - Adyar Ananda Bhavan,Bengaluru,Banashankari,"South Indian, North Indian, Chinese, Street Food",400.0,INR,3.8,155
257,Srikrishna Bhavan,Bengaluru,Banashankari,"South Indian, North Indian, Chinese",300.0,INR,3.8,42
259,Green Gardenia,Bengaluru,Banashankari,"North Indian, Chinese",700.0,INR,3.8,160
260,J Spice,Bengaluru,Banashankari,"North Indian, Chinese",750.0,INR,3.8,59
261,Karavali Family Restaurant,Bengaluru,Banashankari,"Seafood, Biryani, South Indian, North Indian, Chinese",500.0,INR,3.5,90
262,Karavali Lunch Home,Bengaluru,Banashankari,"South Indian, Mangalorean",350.0,INR,3.7,51
263,Hatti Kaapi,Bengaluru,Banashankari,"South Indian, Beverages",200.0,INR,4.0,89
264,Kolkata Kathi Roll's,Bengaluru,Banashankari,"Fast Food, Rolls",250.0,INR,3.6,18
265,Upahara Darshini,Bengaluru,Banashankari,"North Indian, Chinese, South Indian, Fast Food",600.0,INR,3.9,40
266,The Chaat Shop,Bengaluru,Banashankari,Fast Food,200.0,INR,2.5,35
267,Anda Ka Funda,Bengaluru,Banashankari,"North Indian, Chinese, Rolls",250.0,INR,3.4,89
268,Shri Vinayaka Ice N Juice,Bengaluru,Banashankari,"Beverages, Fast Food",150.0,INR,3.2,11
270,Ibaco,Bengaluru,Banashankari,Desserts,300.0,INR,3.9,33
271,Jalaram Sweets,Bengaluru,Banashankari,"Desserts, Mithai",250.0,INR,3.8,32
272,Samskruti - Sanman Gardenia,Bengaluru,Banashankari,"North Indian, Chinese, South Indian",550.0,INR,4.1,139
273,Bendakaluru Bytes,Bengaluru,Banashankari,Fast Food,300.0,INR,3.2,154
274,Cocoa Bakes,Bengaluru,Banashankari,"Bakery, Desserts",350.0,INR,3.6,14
275,Chumma Delicious,Bengaluru,Banashankari,"South Indian, Fast Food",200.0,INR,3.7,237
276,New Prashanth Hotel,Bengaluru,Banashankari,"Biryani, North Indian, Seafood, Andhra",650.0,INR,3.9,388
277,SSV Upahar,Bengaluru,Banashankari,"South Indian, Chinese",300.0,INR,0.0,0
278,Dwaraka Grand,Bengaluru,Banashankari,"South Indian, Chinese, Street Food, Juices",500.0,INR,3.9,128
